Lifecycle Stage,ObservationEvent Type,Data Feature,Example,Temporal,Spatial,Empirical
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Temporary office electricity (1 month),Temporary office electricity (1 month) = 400 kgCO₂e,A4–A5,IfcSite,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 100 pallets bricks,"Transport 100 pallets bricks = 1,200 kgCO₂e",A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Forklift diesel use (1 day),Forklift diesel use (1 day) = 130 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 20 tons cement,"Transport 20 tons cement = 2,000 kgCO₂e",A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Concrete curing heaters (1 week),Concrete curing heaters (1 week) = 500 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 8 tons copper cable,Transport 8 tons copper cable = 900 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 10 prefabricated panels,"Transport 10 prefabricated panels = 1,500 kgCO₂e",A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of On-site painting ventilation fans,On-site painting ventilation fans = 50 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Transport 25 tons aggregates,"Transport 25 tons aggregates = 1,000 kgCO₂e",A4–A5,IfcTask,IoT sensors / log files / site records
A4–A5 Construction,Transport record / Site energy consumption,Energy/carbon record of Welding machine (10h),Welding machine (10h) = 150 kgCO₂e,A4–A5,IfcTask,IoT sensors / log files / site records
