Lifecycle Stage,ObservationEvent Type,Data Feature,Example,Temporal,Spatial,Empirical
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Domestic fridge (1 week),Domestic fridge (1 week) = 3 kWh,B6 / B7,IfcFlowTerminal,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Parking ventilation fan (12h),Parking ventilation fan (12h) = 35 kWh,B6 / B7,IfcSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Building B chilled water loop pump,Building B chilled water loop pump = 65 kWh,B6 / B7,IfcSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Electric vehicle charger (5 sessions),Electric vehicle charger (5 sessions) = 120 kWh,B6 / B7,IfcFlowTerminal,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Boiler gas use (1 day),Boiler gas use (1 day) = 200 kWh,B6 / B7,IfcBuildingSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Zone-304 lighting (1 day),Zone-304 lighting (1 day) = 20 kWh,B6 / B7,IfcSpace,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from IoT sub-meter kitchen (1 day),IoT sub-meter kitchen (1 day) = 15 kWh,B6 / B7,IfcSpace,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from IoT meter: restroom water use,IoT meter: restroom water use = 1.2 m³,B6 / B7,IfcSpace,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Chilled beam system Zone 401,Chilled beam system Zone 401 = 95 kWh,B6 / B7,IfcSystem,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from Building C total daily energy,"Building C total daily energy = 8,500 kWh",B6 / B7,IfcBuilding,IoT smart meters / sensors
B1–B7 Use stage,IoT real-time monitoring record,Operational carbon/energy from AHU-09 weekend electricity,AHU-09 weekend electricity = 60 kWh,B6 / B7,IfcSystem,IoT smart meters / sensors
