Entity,Definition,Attr_Name,Attr_Type,Attr_Desc
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,HasContext,SET [0:1] OF IfcRelDeclares FOR RelatedDefinitions,References to the context providing context information such as project unit or representation context. It should only be asserted for the uppermost non-spatial object. IFC4-CHANGE The inverse attribute datatype has been added.
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsDecomposedBy,SET [0:?] OF IfcRelAggregates FOR RelatingObject,References to the decomposition relationship being an aggregation. It determines that this object definition is the whole within an unordered whole/part decomposition relationship. An object definition can be aggregated by several other objects (occurrences or parts). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Decomposes,SET [0:1] OF IfcRelAggregates FOR RelatedObjects,References to the decomposition relationship being an aggregation. It determines that this object definition is a part within an unordered whole/part decomposition relationship. An object definition can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,HasAssociations,SET [0:?] OF IfcRelAssociates FOR RelatedObjects,"Reference to the relationship objects, that associates external references or other resource definitions to the object. Examples are the association to library, documentation or classification."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,ObjectType,OPTIONAL IfcLabel,"The type denotes a particular type that indicates the object further. The use has to be established at the level of instantiable subtypes. In particular it holds the user defined type, if the enumeration of the attribute PredefinedType is set to USERDEFINED or when the concrete entity instantiated does not have a PredefinedType attribute. The latter is the case in some exceptional leaf classes and when instantiating IfcBuiltElement directly."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsDeclaredBy,SET [0:1] OF IfcRelDefinesByObject FOR RelatedObjects,"Link to the relationship object pointing to the declaring object that provides the object definitions for this object occurrence. The declaring object has to be part of an object type decomposition. The associated IfcObject , or its subtypes, contains the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Declares,SET [0:?] OF IfcRelDefinesByObject FOR RelatingObject,"Link to the relationship object pointing to the reflected object(s) that receives the object definitions. The reflected object has to be part of an object occurrence decomposition. The associated IfcObject , or its subtypes, provides the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsTypedBy,SET [0:1] OF IfcRelDefinesByType FOR RelatedObjects,"Set of relationships to the object type that provides the type definitions for this object occurrence. The then associated IfcTypeObject , or its subtypes, contains the specific information (or type, or style), that is common to all instances of IfcObject , or its subtypes, referring to the same type. IFC4-CHANGE New inverse relationship, the link to IfcRelDefinesByType was previously included in the inverse relationship IfcRelDefines . Change made with upward compatibility for file based exchange."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsDefinedBy,SET [0:?] OF IfcRelDefinesByProperties FOR RelatedObjects,Set of relationships to property set definitions attached to this object. Those statically or dynamically defined properties contain alphanumeric information content that further defines the object. IFC4-CHANGE The data type has been changed from IfcRelDefines to IfcRelDefinesByProperties with upward compatibility for file based exchange.
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Identification,OPTIONAL IfcIdentifier,"An identifying designation given to a process or activity.
  It is the identifier at the occurrence level. IFC4-CHANGE Attribute promoted from subtypes."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,LongDescription,OPTIONAL IfcText,An extended description or narrative that may be provided. IFC4-CHANGE New attribute.
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsPredecessorTo,SET [0:?] OF IfcRelSequence FOR RelatingProcess,"Dependency between two activities, it refers to the subsequent activity for which this activity is the predecessor. The link between two activities can include a link type and a lag time."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsSuccessorFrom,SET [0:?] OF IfcRelSequence FOR RelatedProcess,"Dependency between two activities, it refers to the previous activity for which this activity is the successor. The link between two activities can include a link type and a lag time."
IfcProcess,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,OperatesOn,SET [0:?] OF IfcRelAssignsToProcess FOR RelatingProcess,"Set of relationships to other objects, e.g. products, processes, controls, resources or actors, that are operated on by the process."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,GlobalId,IfcGloballyUniqueId,Assignment of a globally unique identifier within the entire software world.
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,OwnerHistory,OPTIONAL IfcOwnerHistory,"Assignment of the information about the current ownership of that object, including owning actor, application, local identification and information captured about the recent changes of the object. NOTE Only the last modification is stored - either as addition, deletion or modification. IFC4-CHANGE The attribute has been changed to be OPTIONAL."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Description,OPTIONAL IfcText,"An optional description, provided to exchange informative comments."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,HasAssignments,SET [0:?] OF IfcRelAssigns FOR RelatedObjects,"Reference to the relationship objects, that assign (by an association relationship) other subtypes of IfcObject to this object instance. Examples are the association to products, processes, controls, resources or groups."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Nests,SET [0:1] OF IfcRelNests FOR RelatedObjects,References to the decomposition relationship being a nesting. It determines that this object definition is a part within an ordered whole/part decomposition relationship. An object occurrence or type can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been added and separated from Decomposes defined at IfcObjectDefinition .
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsNestedBy,SET [0:?] OF IfcRelNests FOR RelatingObject,References to the decomposition relationship being a nesting. It determines that this object definition is the whole within an ordered whole/part decomposition relationship. An object or object type can be nested by several other objects (occurrences or types). IFC4-CHANGE The inverse attribute datatype has been added and separated from IsDecomposedBy defined at IfcObjectDefinition .
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,HasContext,SET [0:1] OF IfcRelDeclares FOR RelatedDefinitions,References to the context providing context information such as project unit or representation context. It should only be asserted for the uppermost non-spatial object. IFC4-CHANGE The inverse attribute datatype has been added.
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsDecomposedBy,SET [0:?] OF IfcRelAggregates FOR RelatingObject,References to the decomposition relationship being an aggregation. It determines that this object definition is the whole within an unordered whole/part decomposition relationship. An object definition can be aggregated by several other objects (occurrences or parts). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Decomposes,SET [0:1] OF IfcRelAggregates FOR RelatedObjects,References to the decomposition relationship being an aggregation. It determines that this object definition is a part within an unordered whole/part decomposition relationship. An object definition can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,HasAssociations,SET [0:?] OF IfcRelAssociates FOR RelatedObjects,"Reference to the relationship objects, that associates external references or other resource definitions to the object. Examples are the association to library, documentation or classification."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,ObjectType,OPTIONAL IfcLabel,"The type denotes a particular type that indicates the object further. The use has to be established at the level of instantiable subtypes. In particular it holds the user defined type, if the enumeration of the attribute PredefinedType is set to USERDEFINED or when the concrete entity instantiated does not have a PredefinedType attribute. The latter is the case in some exceptional leaf classes and when instantiating IfcBuiltElement directly."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsDeclaredBy,SET [0:1] OF IfcRelDefinesByObject FOR RelatedObjects,"Link to the relationship object pointing to the declaring object that provides the object definitions for this object occurrence. The declaring object has to be part of an object type decomposition. The associated IfcObject , or its subtypes, contains the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Declares,SET [0:?] OF IfcRelDefinesByObject FOR RelatingObject,"Link to the relationship object pointing to the reflected object(s) that receives the object definitions. The reflected object has to be part of an object occurrence decomposition. The associated IfcObject , or its subtypes, provides the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsTypedBy,SET [0:1] OF IfcRelDefinesByType FOR RelatedObjects,"Set of relationships to the object type that provides the type definitions for this object occurrence. The then associated IfcTypeObject , or its subtypes, contains the specific information (or type, or style), that is common to all instances of IfcObject , or its subtypes, referring to the same type. IFC4-CHANGE New inverse relationship, the link to IfcRelDefinesByType was previously included in the inverse relationship IfcRelDefines . Change made with upward compatibility for file based exchange."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsDefinedBy,SET [0:?] OF IfcRelDefinesByProperties FOR RelatedObjects,Set of relationships to property set definitions attached to this object. Those statically or dynamically defined properties contain alphanumeric information content that further defines the object. IFC4-CHANGE The data type has been changed from IfcRelDefines to IfcRelDefinesByProperties with upward compatibility for file based exchange.
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,ObjectPlacement,OPTIONAL IfcObjectPlacement,"This establishes the object coordinate system and placement of the product in space. The placement can either be absolute (relative to the world coordinate system), relative (relative to the object placement of another product), or constrained (e.g. relative to grid axes, or to a linear positioning element). The type of placement is determined by the various subtypes of IfcObjectPlacement . An object placement must be provided if a representation is present."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Representation,OPTIONAL IfcProductRepresentation,"Reference to the representations of the product, being either a representation ( IfcProductRepresentation ) or as a special case of a shape representation ( IfcProductDefinitionShape ). The product definition shape provides for multiple geometric representations of the shape property of the object within the same object coordinate system, defined by the object placement."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,ReferencedBy,SET [0:?] OF IfcRelAssignsToProduct FOR RelatingProduct,"Reference to the IfcRelAssignsToProduct relationship, by which other products, processes, controls, resources or actors (as subtypes of IfcObjectDefinition ) can be related to this product."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,PositionedRelativeTo,SET [0:?] OF IfcRelPositions FOR RelatedProducts,"Reference to the IfcRelPositions relationship, which defines its relationship with a positioning element."
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,ReferencedInStructures,SET [0:?] OF IfcRelReferencedInSpatialStructure FOR RelatedElements,Reference to the objectified relationship IfcRelReferencedInSpatialStructure may be used to relate a product to one or more spatial structure elements in addition to the one in which it is primarily contained.
IfcProduct,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,PlacementForShapeRepresentation,,"If a Representation is given being an IfcProductDefinitionShape , then also an ObjectPlacement has to be given. The ObjectPlacement defines the object coordinate system in which the geometric representation items of the IfcProductDefinitionShape are founded. NOTE If the Representation of several subtypes of IfcProduct have the same coordinate system it is permitted to share an instance of IfcObjectPlacement ."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,GlobalId,IfcGloballyUniqueId,Assignment of a globally unique identifier within the entire software world.
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,OwnerHistory,OPTIONAL IfcOwnerHistory,"Assignment of the information about the current ownership of that object, including owning actor, application, local identification and information captured about the recent changes of the object. NOTE Only the last modification is stored - either as addition, deletion or modification. IFC4-CHANGE The attribute has been changed to be OPTIONAL."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Description,OPTIONAL IfcText,"An optional description, provided to exchange informative comments."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssignments,SET [0:?] OF IfcRelAssigns FOR RelatedObjects,"Reference to the relationship objects, that assign (by an association relationship) other subtypes of IfcObject to this object instance. Examples are the association to products, processes, controls, resources or groups."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Nests,SET [0:1] OF IfcRelNests FOR RelatedObjects,References to the decomposition relationship being a nesting. It determines that this object definition is a part within an ordered whole/part decomposition relationship. An object occurrence or type can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been added and separated from Decomposes defined at IfcObjectDefinition .
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsNestedBy,SET [0:?] OF IfcRelNests FOR RelatingObject,References to the decomposition relationship being a nesting. It determines that this object definition is the whole within an ordered whole/part decomposition relationship. An object or object type can be nested by several other objects (occurrences or types). IFC4-CHANGE The inverse attribute datatype has been added and separated from IsDecomposedBy defined at IfcObjectDefinition .
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasContext,SET [0:1] OF IfcRelDeclares FOR RelatedDefinitions,References to the context providing context information such as project unit or representation context. It should only be asserted for the uppermost non-spatial object. IFC4-CHANGE The inverse attribute datatype has been added.
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDecomposedBy,SET [0:?] OF IfcRelAggregates FOR RelatingObject,References to the decomposition relationship being an aggregation. It determines that this object definition is the whole within an unordered whole/part decomposition relationship. An object definition can be aggregated by several other objects (occurrences or parts). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Decomposes,SET [0:1] OF IfcRelAggregates FOR RelatedObjects,References to the decomposition relationship being an aggregation. It determines that this object definition is a part within an unordered whole/part decomposition relationship. An object definition can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssociations,SET [0:?] OF IfcRelAssociates FOR RelatedObjects,"Reference to the relationship objects, that associates external references or other resource definitions to the object. Examples are the association to library, documentation or classification."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ObjectType,OPTIONAL IfcLabel,"The type denotes a particular type that indicates the object further. The use has to be established at the level of instantiable subtypes. In particular it holds the user defined type, if the enumeration of the attribute PredefinedType is set to USERDEFINED or when the concrete entity instantiated does not have a PredefinedType attribute. The latter is the case in some exceptional leaf classes and when instantiating IfcBuiltElement directly."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDeclaredBy,SET [0:1] OF IfcRelDefinesByObject FOR RelatedObjects,"Link to the relationship object pointing to the declaring object that provides the object definitions for this object occurrence. The declaring object has to be part of an object type decomposition. The associated IfcObject , or its subtypes, contains the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Declares,SET [0:?] OF IfcRelDefinesByObject FOR RelatingObject,"Link to the relationship object pointing to the reflected object(s) that receives the object definitions. The reflected object has to be part of an object occurrence decomposition. The associated IfcObject , or its subtypes, provides the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsTypedBy,SET [0:1] OF IfcRelDefinesByType FOR RelatedObjects,"Set of relationships to the object type that provides the type definitions for this object occurrence. The then associated IfcTypeObject , or its subtypes, contains the specific information (or type, or style), that is common to all instances of IfcObject , or its subtypes, referring to the same type. IFC4-CHANGE New inverse relationship, the link to IfcRelDefinesByType was previously included in the inverse relationship IfcRelDefines . Change made with upward compatibility for file based exchange."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDefinedBy,SET [0:?] OF IfcRelDefinesByProperties FOR RelatedObjects,Set of relationships to property set definitions attached to this object. Those statically or dynamically defined properties contain alphanumeric information content that further defines the object. IFC4-CHANGE The data type has been changed from IfcRelDefines to IfcRelDefinesByProperties with upward compatibility for file based exchange.
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Identification,OPTIONAL IfcIdentifier,"An identifying designation given to a process or activity.
  It is the identifier at the occurrence level. IFC4-CHANGE Attribute promoted from subtypes."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,LongDescription,OPTIONAL IfcText,An extended description or narrative that may be provided. IFC4-CHANGE New attribute.
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsPredecessorTo,SET [0:?] OF IfcRelSequence FOR RelatingProcess,"Dependency between two activities, it refers to the subsequent activity for which this activity is the predecessor. The link between two activities can include a link type and a lag time."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsSuccessorFrom,SET [0:?] OF IfcRelSequence FOR RelatedProcess,"Dependency between two activities, it refers to the previous activity for which this activity is the successor. The link between two activities can include a link type and a lag time."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,OperatesOn,SET [0:?] OF IfcRelAssignsToProcess FOR RelatingProcess,"Set of relationships to other objects, e.g. products, processes, controls, resources or actors, that are operated on by the process."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Status,OPTIONAL IfcLabel,"Current status of the task. NOTE Particular values for status are not specified, these should be determined and agreed by local usage. Examples of possible status values include 'NOTSTARTED', 'STARTED', 'COMPLETED'."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,WorkMethod,OPTIONAL IfcLabel,The method of work used in carrying out a task. NOTE This attribute should not be used if the work method is specified for the IfcTaskType
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsMilestone,IfcBoolean,"Identifies whether a task is a milestone task (= TRUE) or not (= FALSE). NOTE In small project planning applications, a milestone task may be understood to be a task having no duration. As such, it represents a singular point in time."
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Priority,OPTIONAL IfcInteger,A value that indicates the relative priority of the task (in comparison to the priorities of other tasks).
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,TaskTime,OPTIONAL IfcTaskTime,Time related information for the task. IFC4-CHANGE Attribute added
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,PredefinedType,OPTIONAL IfcTaskTypeEnum,Identifies the predefined types of a task from which the type required may be set. IFC4-CHANGE Attribute added
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,CorrectPredefinedType,,The attribute ObjectType must be asserted when the value of PredefinedType is set to USERDEFINED .
IfcTask,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasName,,The Name attribute should be inserted to describe the task name.
IfcBuilding,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,GlobalId,IfcGloballyUniqueId,Assignment of a globally unique identifier within the entire software world.
IfcBuilding,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,OwnerHistory,OPTIONAL IfcOwnerHistory,"Assignment of the information about the current ownership of that object, including owning actor, application, local identification and information captured about the recent changes of the object. NOTE Only the last modification is stored - either as addition, deletion or modification. IFC4-CHANGE The attribute has been changed to be OPTIONAL."
IfcBuilding,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Description,OPTIONAL IfcText,"An optional description, provided to exchange informative comments."
IfcBuilding,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,HasAssignments,SET [0:?] OF IfcRelAssigns FOR RelatedObjects,"Reference to the relationship objects, that assign (by an association relationship) other subtypes of IfcObject to this object instance. Examples are the association to products, processes, controls, resources or groups."
IfcBuilding,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,Nests,SET [0:1] OF IfcRelNests FOR RelatedObjects,References to the decomposition relationship being a nesting. It determines that this object definition is a part within an ordered whole/part decomposition relationship. An object occurrence or type can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been added and separated from Decomposes defined at IfcObjectDefinition .
IfcBuilding,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsNestedBy,SET [0:?] OF IfcRelNests FOR RelatingObject,References to the decomposition relationship being a nesting. It determines that this object definition is the whole within an ordered whole/part decomposition relationship. An object or object type can be nested by several other objects (occurrences or types). IFC4-CHANGE The inverse attribute datatype has been added and separated from IsDecomposedBy defined at IfcObjectDefinition .
IfcBuilding,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,HasContext,SET [0:1] OF IfcRelDeclares FOR RelatedDefinitions,References to the context providing context information such as project unit or representation context. It should only be asserted for the uppermost non-spatial object. IFC4-CHANGE The inverse attribute datatype has been added.
IfcBuilding,IFC 4.3.2.20250608 (IFC4X3_ADD2) under development,IsDecomposedBy,SET [0:?] OF IfcRelAggregates FOR RelatingObject,References to the decomposition relationship being an aggregation. It determines that this object definition is the whole within an unordered whole/part decomposition relationship. An object definition can be aggregated by several other objects (occurrences or parts). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
